Title,Description,Label
Stock market hits all-time high,The article spreads misinformation without proof.,Real
Government launches new health scheme,No credible sources back this claim about elections.,Fake
NASA discovers water on Mars,Scientists provide evidence supporting the discovery.,Real
Celebrity found in secret scandal,People panicked due to misleading earthquake news.,Fake
Government launches new health scheme,Financial experts analyze market trends and growth.,Fake
New AI model beats humans in chess,People panicked due to misleading earthquake news.,Real
Stock market hits all-time high,People panicked due to misleading earthquake news.,Fake
New AI model beats humans in chess,Detailed report by experts confirms the news.,Real
Fake claim about COVID-19 cure spreads,Press release confirms smartphone features and specs.,Fake
New AI model beats humans in chess,Social media users are sharing false details widely.,Fake
False story about earthquake warning,AI breakthroughs are officially confirmed by researchers.,Real
Stock market hits all-time high,No credible sources back this claim about elections.,Real
NASA discovers water on Mars,Rumors spread online without scientific validation.,Real
Unverified report on climate change,Social media users are sharing false details widely.,Real
Unverified report on climate change,Scientists provide evidence supporting the discovery.,Fake
Unverified report on climate change,AI breakthroughs are officially confirmed by researchers.,Real
Stock market hits all-time high,Financial experts analyze market trends and growth.,Real
False story about earthquake warning,Social media users are sharing false details widely.,Fake
New AI model beats humans in chess,The article spreads misinformation without proof.,Fake
Tech company releases new smartphone,AI breakthroughs are officially confirmed by researchers.,Real
Celebrity found in secret scandal,Financial experts analyze market trends and growth.,Fake
Fake claim about COVID-19 cure spreads,Scientists provide evidence supporting the discovery.,Real
False story about earthquake warning,Detailed report by experts confirms the news.,Real
Stock market hits all-time high,The article spreads misinformation without proof.,Real
New AI model beats humans in chess,No credible sources back this claim about elections.,Real
New AI model beats humans in chess,People panicked due to misleading earthquake news.,Real
False story about earthquake warning,Press release confirms smartphone features and specs.,Real
Rumors about elections go viral,Press release confirms smartphone features and specs.,Fake
Tech company releases new smartphone,Financial experts analyze market trends and growth.,Fake
Stock market hits all-time high,Social media users are sharing false details widely.,Fake
Celebrity found in secret scandal,Rumors spread online without scientific validation.,Fake
Rumors about elections go viral,No credible sources back this claim about elections.,Fake
Stock market hits all-time high,Social media users are sharing false details widely.,Real
Unverified report on climate change,Press release confirms smartphone features and specs.,Real
False story about earthquake warning,The article spreads misinformation without proof.,Real
New AI model beats humans in chess,Financial experts analyze market trends and growth.,Fake
Stock market hits all-time high,Detailed report by experts confirms the news.,Fake
Fake claim about COVID-19 cure spreads,People panicked due to misleading earthquake news.,Fake
Celebrity found in secret scandal,Detailed report by experts confirms the news.,Real
Celebrity found in secret scandal,People panicked due to misleading earthquake news.,Fake
NASA discovers water on Mars,Financial experts analyze market trends and growth.,Fake
Tech company releases new smartphone,The article spreads misinformation without proof.,Real
False story about earthquake warning,Detailed report by experts confirms the news.,Real
Rumors about elections go viral,People panicked due to misleading earthquake news.,Fake
Fake claim about COVID-19 cure spreads,Press release confirms smartphone features and specs.,Fake
NASA discovers water on Mars,Scientists provide evidence supporting the discovery.,Fake
Fake claim about COVID-19 cure spreads,Scientists provide evidence supporting the discovery.,Fake
Celebrity found in secret scandal,The article spreads misinformation without proof.,Real
Unverified report on climate change,Press release confirms smartphone features and specs.,Fake
New AI model beats humans in chess,Press release confirms smartphone features and specs.,Real
NASA discovers water on Mars,People panicked due to misleading earthquake news.,Fake
Government launches new health scheme,Detailed report by experts confirms the news.,Real
Government launches new health scheme,People panicked due to misleading earthquake news.,Fake
NASA discovers water on Mars,People panicked due to misleading earthquake news.,Fake
Celebrity found in secret scandal,AI breakthroughs are officially confirmed by researchers.,Fake
New AI model beats humans in chess,Rumors spread online without scientific validation.,Real
False story about earthquake warning,No credible sources back this claim about elections.,Fake
Tech company releases new smartphone,Rumors spread online without scientific validation.,Real
NASA discovers water on Mars,Rumors spread online without scientific validation.,Real
Celebrity found in secret scandal,People panicked due to misleading earthquake news.,Real
Tech company releases new smartphone,Social media users are sharing false details widely.,Real
Unverified report on climate change,Social media users are sharing false details widely.,Fake
New AI model beats humans in chess,Detailed report by experts confirms the news.,Fake
Rumors about elections go viral,Social media users are sharing false details widely.,Real
Celebrity found in secret scandal,AI breakthroughs are officially confirmed by researchers.,Real
Fake claim about COVID-19 cure spreads,The article spreads misinformation without proof.,Real
Rumors about elections go viral,The article spreads misinformation without proof.,Real
Celebrity found in secret scandal,Financial experts analyze market trends and growth.,Real
Celebrity found in secret scandal,Scientists provide evidence supporting the discovery.,Real
False story about earthquake warning,Scientists provide evidence supporting the discovery.,Fake
New AI model beats humans in chess,Rumors spread online without scientific validation.,Real
Government launches new health scheme,Financial experts analyze market trends and growth.,Fake
Stock market hits all-time high,Rumors spread online without scientific validation.,Real
Government launches new health scheme,Rumors spread online without scientific validation.,Real
New AI model beats humans in chess,Detailed report by experts confirms the news.,Real
False story about earthquake warning,Financial experts analyze market trends and growth.,Fake
False story about earthquake warning,Detailed report by experts confirms the news.,Real
Celebrity found in secret scandal,Detailed report by experts confirms the news.,Fake
Stock market hits all-time high,People panicked due to misleading earthquake news.,Fake
False story about earthquake warning,No credible sources back this claim about elections.,Fake
Rumors about elections go viral,The article spreads misinformation without proof.,Fake
Stock market hits all-time high,Rumors spread online without scientific validation.,Real
Rumors about elections go viral,Social media users are sharing false details widely.,Fake
Government launches new health scheme,Detailed report by experts confirms the news.,Fake
Unverified report on climate change,People panicked due to misleading earthquake news.,Real
Unverified report on climate change,AI breakthroughs are officially confirmed by researchers.,Fake
Celebrity found in secret scandal,Social media users are sharing false details widely.,Fake
Fake claim about COVID-19 cure spreads,Detailed report by experts confirms the news.,Real
False story about earthquake warning,Rumors spread online without scientific validation.,Fake
Fake claim about COVID-19 cure spreads,Scientists provide evidence supporting the discovery.,Fake
Stock market hits all-time high,Detailed report by experts confirms the news.,Fake
False story about earthquake warning,Scientists provide evidence supporting the discovery.,Real
False story about earthquake warning,People panicked due to misleading earthquake news.,Fake
NASA discovers water on Mars,Scientists provide evidence supporting the discovery.,Real
NASA discovers water on Mars,Scientists provide evidence supporting the discovery.,Fake
New AI model beats humans in chess,Detailed report by experts confirms the news.,Fake
New AI model beats humans in chess,Financial experts analyze market trends and growth.,Fake
New AI model beats humans in chess,Rumors spread online without scientific validation.,Fake
Celebrity found in secret scandal,Press release confirms smartphone features and specs.,Real
Government launches new health scheme,Scientists provide evidence supporting the discovery.,Real
NASA discovers water on Mars,Financial experts analyze market trends and growth.,Fake
False story about earthquake warning,Press release confirms smartphone features and specs.,Fake
Stock market hits all-time high,Scientists provide evidence supporting the discovery.,Fake
NASA discovers water on Mars,Financial experts analyze market trends and growth.,Real
Government launches new health scheme,Rumors spread online without scientific validation.,Real
Stock market hits all-time high,No credible sources back this claim about elections.,Fake
New AI model beats humans in chess,The article spreads misinformation without proof.,Real
Government launches new health scheme,Detailed report by experts confirms the news.,Fake
Rumors about elections go viral,Financial experts analyze market trends and growth.,Real
New AI model beats humans in chess,Scientists provide evidence supporting the discovery.,Real
Tech company releases new smartphone,People panicked due to misleading earthquake news.,Real
Government launches new health scheme,Social media users are sharing false details widely.,Real
Unverified report on climate change,AI breakthroughs are officially confirmed by researchers.,Real
New AI model beats humans in chess,Social media users are sharing false details widely.,Fake
New AI model beats humans in chess,AI breakthroughs are officially confirmed by researchers.,Fake
New AI model beats humans in chess,Social media users are sharing false details widely.,Real
False story about earthquake warning,Scientists provide evidence supporting the discovery.,Fake
False story about earthquake warning,Social media users are sharing false details widely.,Real
Unverified report on climate change,Social media users are sharing false details widely.,Real
NASA discovers water on Mars,The article spreads misinformation without proof.,Fake
New AI model beats humans in chess,The article spreads misinformation without proof.,Real
Unverified report on climate change,The article spreads misinformation without proof.,Fake
Rumors about elections go viral,Financial experts analyze market trends and growth.,Real
Unverified report on climate change,Detailed report by experts confirms the news.,Fake
New AI model beats humans in chess,Rumors spread online without scientific validation.,Fake
Unverified report on climate change,Detailed report by experts confirms the news.,Real
NASA discovers water on Mars,Detailed report by experts confirms the news.,Fake
False story about earthquake warning,Scientists provide evidence supporting the discovery.,Real
Unverified report on climate change,Press release confirms smartphone features and specs.,Fake
Tech company releases new smartphone,AI breakthroughs are officially confirmed by researchers.,Fake
Rumors about elections go viral,Scientists provide evidence supporting the discovery.,Real
NASA discovers water on Mars,Scientists provide evidence supporting the discovery.,Real
Rumors about elections go viral,Scientists provide evidence supporting the discovery.,Real
Celebrity found in secret scandal,No credible sources back this claim about elections.,Real
Fake claim about COVID-19 cure spreads,Financial experts analyze market trends and growth.,Fake
Celebrity found in secret scandal,Press release confirms smartphone features and specs.,Fake
Stock market hits all-time high,Scientists provide evidence supporting the discovery.,Real
Government launches new health scheme,No credible sources back this claim about elections.,Real
Stock market hits all-time high,Detailed report by experts confirms the news.,Real
NASA discovers water on Mars,Scientists provide evidence supporting the discovery.,Fake
NASA discovers water on Mars,AI breakthroughs are officially confirmed by researchers.,Real
False story about earthquake warning,No credible sources back this claim about elections.,Real
Rumors about elections go viral,Press release confirms smartphone features and specs.,Fake
NASA discovers water on Mars,Financial experts analyze market trends and growth.,Real
Government launches new health scheme,Rumors spread online without scientific validation.,Real
Tech company releases new smartphone,Social media users are sharing false details widely.,Fake
Unverified report on climate change,Press release confirms smartphone features and specs.,Real
Celebrity found in secret scandal,No credible sources back this claim about elections.,Fake
Unverified report on climate change,Financial experts analyze market trends and growth.,Fake
Celebrity found in secret scandal,Scientists provide evidence supporting the discovery.,Real
False story about earthquake warning,Detailed report by experts confirms the news.,Fake
Fake claim about COVID-19 cure spreads,People panicked due to misleading earthquake news.,Fake
Rumors about elections go viral,Rumors spread online without scientific validation.,Fake
False story about earthquake warning,Detailed report by experts confirms the news.,Fake
Rumors about elections go viral,Detailed report by experts confirms the news.,Real
Stock market hits all-time high,The article spreads misinformation without proof.,Fake
Stock market hits all-time high,People panicked due to misleading earthquake news.,Fake
False story about earthquake warning,Rumors spread online without scientific validation.,Real
Rumors about elections go viral,No credible sources back this claim about elections.,Fake
Tech company releases new smartphone,Press release confirms smartphone features and specs.,Real
NASA discovers water on Mars,Detailed report by experts confirms the news.,Real
Celebrity found in secret scandal,Rumors spread online without scientific validation.,Real
Stock market hits all-time high,AI breakthroughs are officially confirmed by researchers.,Real
Fake claim about COVID-19 cure spreads,No credible sources back this claim about elections.,Real
False story about earthquake warning,Press release confirms smartphone features and specs.,Fake
Government launches new health scheme,People panicked due to misleading earthquake news.,Fake
NASA discovers water on Mars,Scientists provide evidence supporting the discovery.,Real
False story about earthquake warning,Social media users are sharing false details widely.,Fake
New AI model beats humans in chess,People panicked due to misleading earthquake news.,Real
Rumors about elections go viral,Scientists provide evidence supporting the discovery.,Real
Fake claim about COVID-19 cure spreads,People panicked due to misleading earthquake news.,Fake
Tech company releases new smartphone,No credible sources back this claim about elections.,Real
Rumors about elections go viral,AI breakthroughs are officially confirmed by researchers.,Fake
Government launches new health scheme,The article spreads misinformation without proof.,Real
False story about earthquake warning,No credible sources back this claim about elections.,Real
New AI model beats humans in chess,Financial experts analyze market trends and growth.,Real
Tech company releases new smartphone,Social media users are sharing false details widely.,Real
Tech company releases new smartphone,No credible sources back this claim about elections.,Fake
Stock market hits all-time high,Detailed report by experts confirms the news.,Real
Fake claim about COVID-19 cure spreads,People panicked due to misleading earthquake news.,Real
New AI model beats humans in chess,Social media users are sharing false details widely.,Fake
Rumors about elections go viral,The article spreads misinformation without proof.,Fake
Tech company releases new smartphone,People panicked due to misleading earthquake news.,Fake
New AI model beats humans in chess,Press release confirms smartphone features and specs.,Fake
Celebrity found in secret scandal,People panicked due to misleading earthquake news.,Real
New AI model beats humans in chess,Scientists provide evidence supporting the discovery.,Fake
False story about earthquake warning,Financial experts analyze market trends and growth.,Real
NASA discovers water on Mars,Detailed report by experts confirms the news.,Real
Stock market hits all-time high,People panicked due to misleading earthquake news.,Fake
New AI model beats humans in chess,Press release confirms smartphone features and specs.,Fake
NASA discovers water on Mars,Detailed report by experts confirms the news.,Fake
Fake claim about COVID-19 cure spreads,The article spreads misinformation without proof.,Real
Stock market hits all-time high,AI breakthroughs are officially confirmed by researchers.,Real
Tech company releases new smartphone,Financial experts analyze market trends and growth.,Fake
Celebrity found in secret scandal,Rumors spread online without scientific validation.,Real
Fake claim about COVID-19 cure spreads,Financial experts analyze market trends and growth.,Fake
False story about earthquake warning,No credible sources back this claim about elections.,Fake
Rumors about elections go viral,No credible sources back this claim about elections.,Fake
Rumors about elections go viral,Rumors spread online without scientific validation.,Fake
Celebrity found in secret scandal,The article spreads misinformation without proof.,Real
Stock market hits all-time high,Press release confirms smartphone features and specs.,Real
False story about earthquake warning,The article spreads misinformation without proof.,Real
Celebrity found in secret scandal,Press release confirms smartphone features and specs.,Fake
NASA discovers water on Mars,Scientists provide evidence supporting the discovery.,Real
Rumors about elections go viral,Social media users are sharing false details widely.,Real
Government launches new health scheme,Scientists provide evidence supporting the discovery.,Real
New AI model beats humans in chess,Rumors spread online without scientific validation.,Fake
Celebrity found in secret scandal,People panicked due to misleading earthquake news.,Real
Stock market hits all-time high,No credible sources back this claim about elections.,Real
NASA discovers water on Mars,AI breakthroughs are officially confirmed by researchers.,Fake
Stock market hits all-time high,Financial experts analyze market trends and growth.,Fake
NASA discovers water on Mars,No credible sources back this claim about elections.,Fake
Stock market hits all-time high,Financial experts analyze market trends and growth.,Real
NASA discovers water on Mars,The article spreads misinformation without proof.,Fake
Rumors about elections go viral,No credible sources back this claim about elections.,Real
False story about earthquake warning,No credible sources back this claim about elections.,Fake
Tech company releases new smartphone,Social media users are sharing false details widely.,Real
Tech company releases new smartphone,AI breakthroughs are officially confirmed by researchers.,Real
Government launches new health scheme,Rumors spread online without scientific validation.,Fake
New AI model beats humans in chess,Social media users are sharing false details widely.,Real
False story about earthquake warning,Scientists provide evidence supporting the discovery.,Real
Rumors about elections go viral,Scientists provide evidence supporting the discovery.,Real
Government launches new health scheme,Scientists provide evidence supporting the discovery.,Real
Tech company releases new smartphone,Financial experts analyze market trends and growth.,Real
Tech company releases new smartphone,People panicked due to misleading earthquake news.,Real
Celebrity found in secret scandal,Scientists provide evidence supporting the discovery.,Real
Unverified report on climate change,Financial experts analyze market trends and growth.,Real
Fake claim about COVID-19 cure spreads,Press release confirms smartphone features and specs.,Fake
Celebrity found in secret scandal,People panicked due to misleading earthquake news.,Real
Unverified report on climate change,Rumors spread online without scientific validation.,Fake
New AI model beats humans in chess,People panicked due to misleading earthquake news.,Fake
Fake claim about COVID-19 cure spreads,The article spreads misinformation without proof.,Real
False story about earthquake warning,People panicked due to misleading earthquake news.,Real
Stock market hits all-time high,People panicked due to misleading earthquake news.,Real
Tech company releases new smartphone,Press release confirms smartphone features and specs.,Real
New AI model beats humans in chess,The article spreads misinformation without proof.,Real
Tech company releases new smartphone,Financial experts analyze market trends and growth.,Fake
False story about earthquake warning,Detailed report by experts confirms the news.,Real
Tech company releases new smartphone,Scientists provide evidence supporting the discovery.,Fake
Tech company releases new smartphone,No credible sources back this claim about elections.,Real
NASA discovers water on Mars,People panicked due to misleading earthquake news.,Real
False story about earthquake warning,Press release confirms smartphone features and specs.,Fake
Rumors about elections go viral,No credible sources back this claim about elections.,Real
Tech company releases new smartphone,Social media users are sharing false details widely.,Real
Rumors about elections go viral,Financial experts analyze market trends and growth.,Fake
Celebrity found in secret scandal,Press release confirms smartphone features and specs.,Real
Stock market hits all-time high,No credible sources back this claim about elections.,Real
Rumors about elections go viral,People panicked due to misleading earthquake news.,Real
Stock market hits all-time high,Rumors spread online without scientific validation.,Fake
Fake claim about COVID-19 cure spreads,Financial experts analyze market trends and growth.,Real
Rumors about elections go viral,Social media users are sharing false details widely.,Real
Unverified report on climate change,Financial experts analyze market trends and growth.,Fake
Government launches new health scheme,Social media users are sharing false details widely.,Fake
Rumors about elections go viral,Social media users are sharing false details widely.,Real
Tech company releases new smartphone,Social media users are sharing false details widely.,Real
Fake claim about COVID-19 cure spreads,Social media users are sharing false details widely.,Real
Tech company releases new smartphone,AI breakthroughs are officially confirmed by researchers.,Real
Celebrity found in secret scandal,AI breakthroughs are officially confirmed by researchers.,Real
New AI model beats humans in chess,Social media users are sharing false details widely.,Fake
Rumors about elections go viral,People panicked due to misleading earthquake news.,Real
New AI model beats humans in chess,Press release confirms smartphone features and specs.,Fake
Tech company releases new smartphone,People panicked due to misleading earthquake news.,Real
False story about earthquake warning,AI breakthroughs are officially confirmed by researchers.,Fake
False story about earthquake warning,People panicked due to misleading earthquake news.,Fake
Government launches new health scheme,Detailed report by experts confirms the news.,Real
New AI model beats humans in chess,Financial experts analyze market trends and growth.,Fake
Government launches new health scheme,Scientists provide evidence supporting the discovery.,Real
NASA discovers water on Mars,Financial experts analyze market trends and growth.,Real
Stock market hits all-time high,No credible sources back this claim about elections.,Real
Government launches new health scheme,Detailed report by experts confirms the news.,Real
Government launches new health scheme,Press release confirms smartphone features and specs.,Real
False story about earthquake warning,The article spreads misinformation without proof.,Fake
Celebrity found in secret scandal,Scientists provide evidence supporting the discovery.,Fake
False story about earthquake warning,Social media users are sharing false details widely.,Real
Tech company releases new smartphone,Scientists provide evidence supporting the discovery.,Real
Fake claim about COVID-19 cure spreads,Scientists provide evidence supporting the discovery.,Real
Rumors about elections go viral,AI breakthroughs are officially confirmed by researchers.,Fake
False story about earthquake warning,No credible sources back this claim about elections.,Real
False story about earthquake warning,Detailed report by experts confirms the news.,Real
Fake claim about COVID-19 cure spreads,Financial experts analyze market trends and growth.,Real
Celebrity found in secret scandal,AI breakthroughs are officially confirmed by researchers.,Fake
Government launches new health scheme,Rumors spread online without scientific validation.,Real
Unverified report on climate change,The article spreads misinformation without proof.,Real
New AI model beats humans in chess,People panicked due to misleading earthquake news.,Real
Tech company releases new smartphone,People panicked due to misleading earthquake news.,Fake
NASA discovers water on Mars,Rumors spread online without scientific validation.,Fake
Celebrity found in secret scandal,Social media users are sharing false details widely.,Fake
False story about earthquake warning,Detailed report by experts confirms the news.,Real
False story about earthquake warning,People panicked due to misleading earthquake news.,Fake
Tech company releases new smartphone,Press release confirms smartphone features and specs.,Fake
Tech company releases new smartphone,Press release confirms smartphone features and specs.,Real
False story about earthquake warning,Rumors spread online without scientific validation.,Fake
New AI model beats humans in chess,Financial experts analyze market trends and growth.,Fake
Celebrity found in secret scandal,AI breakthroughs are officially confirmed by researchers.,Fake
Celebrity found in secret scandal,Rumors spread online without scientific validation.,Real
Tech company releases new smartphone,AI breakthroughs are officially confirmed by researchers.,Real
Stock market hits all-time high,People panicked due to misleading earthquake news.,Fake
Fake claim about COVID-19 cure spreads,Scientists provide evidence supporting the discovery.,Fake
Stock market hits all-time high,Scientists provide evidence supporting the discovery.,Real
Government launches new health scheme,Detailed report by experts confirms the news.,Fake
Fake claim about COVID-19 cure spreads,Financial experts analyze market trends and growth.,Real
NASA discovers water on Mars,The article spreads misinformation without proof.,Fake
New AI model beats humans in chess,Scientists provide evidence supporting the discovery.,Fake
Unverified report on climate change,AI breakthroughs are officially confirmed by researchers.,Fake
Fake claim about COVID-19 cure spreads,The article spreads misinformation without proof.,Real
Celebrity found in secret scandal,Detailed report by experts confirms the news.,Real
False story about earthquake warning,Rumors spread online without scientific validation.,Real
New AI model beats humans in chess,People panicked due to misleading earthquake news.,Real
Tech company releases new smartphone,Financial experts analyze market trends and growth.,Real
New AI model beats humans in chess,Press release confirms smartphone features and specs.,Fake
New AI model beats humans in chess,AI breakthroughs are officially confirmed by researchers.,Real
Fake claim about COVID-19 cure spreads,Detailed report by experts confirms the news.,Real
Tech company releases new smartphone,Financial experts analyze market trends and growth.,Real
Tech company releases new smartphone,AI breakthroughs are officially confirmed by researchers.,Fake
Tech company releases new smartphone,Press release confirms smartphone features and specs.,Fake
False story about earthquake warning,Press release confirms smartphone features and specs.,Fake
Rumors about elections go viral,Social media users are sharing false details widely.,Real
New AI model beats humans in chess,No credible sources back this claim about elections.,Real
Stock market hits all-time high,Detailed report by experts confirms the news.,Real
Rumors about elections go viral,People panicked due to misleading earthquake news.,Real
Celebrity found in secret scandal,Financial experts analyze market trends and growth.,Fake
Tech company releases new smartphone,Social media users are sharing false details widely.,Fake
New AI model beats humans in chess,No credible sources back this claim about elections.,Fake
Rumors about elections go viral,Financial experts analyze market trends and growth.,Fake
Tech company releases new smartphone,Social media users are sharing false details widely.,Fake
New AI model beats humans in chess,Social media users are sharing false details widely.,Real
NASA discovers water on Mars,Financial experts analyze market trends and growth.,Real
NASA discovers water on Mars,The article spreads misinformation without proof.,Fake
False story about earthquake warning,Social media users are sharing false details widely.,Fake
False story about earthquake warning,People panicked due to misleading earthquake news.,Real
Unverified report on climate change,AI breakthroughs are officially confirmed by researchers.,Fake
Stock market hits all-time high,Detailed report by experts confirms the news.,Real
Unverified report on climate change,Rumors spread online without scientific validation.,Fake
